🙂,neutral,
😀,positive,
😃,positive,
😄,positive,
😁,positive,
😅,neutral,
😆,positive,
🤣,positive,
😂,positive,
🙃,neutral,
😉,positive,
😊,positive,
😇,neutral,
😎,neutral,
🤓,neutral,
🧐,neutral,
🥳,positive,
🥰,positive,
😍,positive,
🤩,positive,
😘,positive,
😗,positive,
☺,positive,
😚,positive,
😙,positive,
🥲,negative,
😋,positive,
😛,positive,
😜,positive,
🤪,positive,
😝,positive,
🤑,positive,
🤗,positive,
🤭,neutral,
🤫,neutral,
🤔,neutral,
😐,neutral,
🤐,neutral,
🤨,negative,
😑,negative,
😶,negative,
😏,positive,
😒,negative,
🙄,negative,
😬,neutral,
😮‍💨,neutral,
🤥,negative,
😪,neutral,
😴,neutral,
😌,positive,
😔,negative,
🤤,positive,
😷,negative,
🤒,negative,
🤕,negative,
🤢,negative,
🤮,negative,
🤧,negative,
🥵,negative,
🥶,negative,
🥴,negative,
😵,negative,
🤯,negative,
😕,negative,
😟,negative,
🙁,negative,
☹,negative,
😮,negative,
😯,negative,
😲,negative,
😳,neutral,
🥺,neutral,
😦,negative,
😧,negative,
😨,negative,
😰,negative,
😥,negative,
😢,negative,
😭,negative,
😱,negative,
😖,negative,
😣,negative,
😞,negative,
😓,negative,
😩,negative,
😫,negative,
🥱,negative,
😤,negative,
😡,negative,
😠,negative,
🤬,negative,
😈,negative,
👿,negative,
💀,negative,
☠,negative,
💩,negative,
🤡,negative,positive
👹,neutral,
👺,negative,
👻,positive,
👽,neutral,
👾,neutral,
🤖,neutral,
😺,positive,
😸,positive,
😹,positive,
😻,positive,
😼,positive,
😽,positive,
🙀,neutral,
😿,negative,
😾,negative,
🙈,positive,
🙉,neutral,
🙊,neutral,
💋,positive,
💌,positive,
💘,positive,
💝,positive,
💖,positive,
💗,positive,
💓,positive,
💞,positive,
💕,positive,
💟,positive,
❣,positive,
💔,positive,
❤️‍🔥,positive,
❤️‍🩹,positive,
❤,positive,
🧡,positive,
💛,positive,
💚,positive,
💙,positive,
💜,positive,
🤎,positive,
🖤,positive,
🤍,positive,
💯,positive,
💢,positive,
💥,positive,
💫,positive,
💦,neutral,
💨,neutral,
🕳,neutral,
💣,neutral,
💬,neutral,
👁️‍🗨️,neutral,
🗨,neutral,
🗯,neutral,
💭,neutral,
💤,neutral,
👋,neutral,
🤚,neutral,
🖐,neutral,
✋,neutral,
🖖,neutral,
👌,neutral,
🤌,neutral,
